date,GDPC1,quarter_yr,quarter_cycle,year,year_qt,GDP_growth_qt,GDP_growth_pct
1/1/1947,2033.061,1,1,1947,1947_1,0,0
4/1/1947,2027.639,2,2,1947,1947_2,-5.422,-0.266691457
7/1/1947,2023.452,3,3,1947,1947_3,-4.187,-0.206496324
10/1/1947,2055.103,4,4,1947,1947_4,31.651,1.564208096
1/1/1948,2086.017,1,5,1948,1948_5,30.914,1.504255504
4/1/1948,2120.45,2,6,1948,1948_6,34.433,1.650657689
7/1/1948,2132.598,3,7,1948,1948_7,12.148,0.572897262
10/1/1948,2134.981,4,8,1948,1948_8,2.383,0.111741641
1/1/1949,2105.562,1,1,1949,1949_1,-29.419,-1.377951373
4/1/1949,2098.38,2,2,1949,1949_2,-7.182,-0.341096581
7/1/1949,2120.044,3,3,1949,1949_3,21.664,1.032415482
10/1/1949,2102.251,4,4,1949,1949_4,-17.793,-0.839275034
1/1/1950,2184.872,1,5,1950,1950_5,82.621,3.930120618
4/1/1950,2251.507,2,6,1950,1950_6,66.635,3.049835414
7/1/1950,2338.514,3,7,1950,1950_7,87.007,3.864389496
10/1/1950,2383.291,4,8,1950,1950_8,44.777,1.914762965
1/1/1951,2415.66,1,1,1951,1951_1,32.369,1.358163984
4/1/1951,2457.517,2,2,1951,1951_2,41.857,1.732735567
7/1/1951,2508.166,3,3,1951,1951_3,50.649,2.060982691
10/1/1951,2513.69,4,4,1951,1951_4,5.524,0.220240606
1/1/1952,2540.55,1,5,1952,1952_5,26.86,1.068548628
4/1/1952,2546.022,2,6,1952,1952_6,5.472,0.215386432
7/1/1952,2564.401,3,7,1952,1952_7,18.379,0.721871217
10/1/1952,2648.621,4,8,1952,1952_8,84.22,3.284197752
1/1/1953,2697.855,1,1,1953,1953_1,49.234,1.858854098
4/1/1953,2718.709,2,2,1953,1953_2,20.854,0.772984464
7/1/1953,2703.411,3,3,1953,1953_3,-15.298,-0.562693543
10/1/1953,2662.482,4,4,1953,1953_4,-40.929,-1.513976232
1/1/1954,2649.755,1,5,1954,1954_5,-12.727,-0.478012621
4/1/1954,2652.643,2,6,1954,1954_6,2.888,0.108991209
7/1/1954,2682.601,3,7,1954,1954_7,29.958,1.129364185
10/1/1954,2735.091,4,8,1954,1954_8,52.49,1.956683085
1/1/1955,2813.212,1,1,1955,1955_1,78.121,2.856248659
4/1/1955,2858.988,2,2,1955,1955_2,45.776,1.627179182
7/1/1955,2897.598,3,3,1955,1955_3,38.61,1.350477861
10/1/1955,2914.993,4,4,1955,1955_4,17.395,0.600324821
1/1/1956,2903.671,1,5,1956,1956_5,-11.322,-0.388405735
4/1/1956,2927.665,2,6,1956,1956_6,23.994,0.826333286
7/1/1956,2925.035,3,7,1956,1956_7,-2.63,-0.089832682
10/1/1956,2973.179,4,8,1956,1956_8,48.144,1.645929023
1/1/1957,2992.219,1,1,1957,1957_1,19.04,0.640391984
4/1/1957,2985.663,2,2,1957,1957_2,-6.556,-0.21910161
7/1/1957,3014.919,3,3,1957,1957_3,29.256,0.97988286
10/1/1957,2983.727,4,4,1957,1957_4,-31.192,-1.034588326
1/1/1958,2906.274,1,5,1958,1958_5,-77.453,-2.595847408
4/1/1958,2925.379,2,6,1958,1958_6,19.105,0.657370915
7/1/1958,2993.068,3,7,1958,1958_7,67.689,2.313854034
10/1/1958,3063.085,4,8,1958,1958_8,70.017,2.339305355
1/1/1959,3121.936,1,1,1959,1959_1,58.851,1.921298299
4/1/1959,3192.38,2,2,1959,1959_2,70.444,2.256420375
7/1/1959,3194.653,3,3,1959,1959_3,2.273,0.071200797
10/1/1959,3203.759,4,4,1959,1959_4,9.106,0.285038782
1/1/1960,3275.757,1,5,1960,1960_5,71.998,2.247297628
4/1/1960,3258.088,2,6,1960,1960_6,-17.669,-0.539386774
7/1/1960,3274.029,3,7,1960,1960_7,15.941,0.489274691
10/1/1960,3232.009,4,8,1960,1960_8,-42.02,-1.283433959
1/1/1961,3253.826,1,1,1961,1961_1,21.817,0.675029061
4/1/1961,3309.059,2,2,1961,1961_2,55.233,1.697478599
7/1/1961,3372.581,3,3,1961,1961_3,63.522,1.91963939
10/1/1961,3438.721,4,4,1961,1961_4,66.14,1.961109311
1/1/1962,3500.054,1,5,1962,1962_5,61.333,1.783599193
4/1/1962,3531.683,2,6,1962,1962_6,31.629,0.903671772
7/1/1962,3575.07,3,7,1962,1962_7,43.387,1.228507768
10/1/1962,3586.827,4,8,1962,1962_8,11.757,0.328860694
1/1/1963,3625.981,1,1,1963,1963_1,39.154,1.091605477
4/1/1963,3666.669,2,2,1963,1963_2,40.688,1.122123916
7/1/1963,3747.278,3,3,1963,1963_3,80.609,2.198425874
10/1/1963,3771.845,4,4,1963,1963_4,24.567,0.655595875
1/1/1964,3851.366,1,5,1964,1964_5,79.521,2.108278575
4/1/1964,3893.296,2,6,1964,1964_6,41.93,1.088704631
7/1/1964,3954.121,3,7,1964,1964_7,60.825,1.56230094
10/1/1964,3966.335,4,8,1964,1964_8,12.214,0.308892925
1/1/1965,4062.311,1,1,1965,1965_1,95.976,2.41976535
4/1/1965,4113.629,2,2,1965,1965_2,51.318,1.263271079
7/1/1965,4205.086,3,3,1965,1965_3,91.457,2.223268068
10/1/1965,4301.973,4,4,1965,1965_4,96.887,2.304043247
1/1/1966,4406.693,1,5,1966,1966_5,104.72,2.434231921
4/1/1966,4421.747,2,6,1966,1966_6,15.054,0.341616718
7/1/1966,4459.195,3,7,1966,1966_7,37.448,0.846905081
10/1/1966,4495.777,4,8,1966,1966_8,36.582,0.820372287
1/1/1967,4535.591,1,1,1967,1967_1,39.814,0.885586629
4/1/1967,4538.37,2,2,1967,1967_2,2.779,0.061270957
7/1/1967,4581.309,3,3,1967,1967_3,42.939,0.946132642
10/1/1967,4615.853,4,4,1967,1967_4,34.544,0.754020303
1/1/1968,4709.993,1,5,1968,1968_5,94.14,2.039493025
4/1/1968,4788.688,2,6,1968,1968_6,78.695,1.670809277
7/1/1968,4825.799,3,7,1968,1968_7,37.111,0.774972184
10/1/1968,4844.779,4,8,1968,1968_8,18.98,0.393302746
1/1/1969,4920.605,1,1,1969,1969_1,75.826,1.565107511
4/1/1969,4935.564,2,2,1969,1969_2,14.959,0.304007332
7/1/1969,4968.164,3,3,1969,1969_3,32.6,0.660512152
10/1/1969,4943.935,4,4,1969,1969_4,-24.229,-0.487685189
1/1/1970,4936.594,1,5,1970,1970_5,-7.341,-0.148484962
4/1/1970,4943.6,2,6,1970,1970_6,7.006,0.141919712
7/1/1970,4989.159,3,7,1970,1970_7,45.559,0.92157537
10/1/1970,4935.693,4,8,1970,1970_8,-53.466,-1.071643538
1/1/1971,5069.746,1,1,1971,1971_1,134.053,2.715991452
4/1/1971,5097.179,2,2,1971,1971_2,27.433,0.541111922
7/1/1971,5139.128,3,3,1971,1971_3,41.949,0.822984635
10/1/1971,5151.245,4,4,1971,1971_4,12.117,0.2357793
1/1/1972,5245.974,1,5,1972,1972_5,94.729,1.838953496
4/1/1972,5365.045,2,6,1972,1972_6,119.071,2.269759629
7/1/1972,5415.712,3,7,1972,1972_7,50.667,0.94439096
10/1/1972,5506.396,4,8,1972,1972_8,90.684,1.674461271
1/1/1973,5642.669,1,1,1973,1973_1,136.273,2.474812927
4/1/1973,5704.098,2,2,1973,1973_2,61.429,1.088651487
7/1/1973,5674.1,3,3,1973,1973_3,-29.998,-0.525902605
10/1/1973,5727.96,4,4,1973,1973_4,53.86,0.949225428
1/1/1974,5678.713,1,5,1974,1974_5,-49.247,-0.859765082
4/1/1974,5692.21,2,6,1974,1974_6,13.497,0.237677093
7/1/1974,5638.411,3,7,1974,1974_7,-53.799,-0.945133788
10/1/1974,5616.526,4,8,1974,1974_8,-21.885,-0.388141269
1/1/1975,5548.156,1,1,1975,1975_1,-68.37,-1.217300516
4/1/1975,5587.8,2,2,1975,1975_2,39.644,0.714543715
7/1/1975,5683.444,3,3,1975,1975_3,95.644,1.71165754
10/1/1975,5759.972,4,4,1975,1975_4,76.528,1.346507505
1/1/1976,5889.5,1,5,1976,1976_5,129.528,2.248760931
4/1/1976,5932.711,2,6,1976,1976_6,43.211,0.73369556
7/1/1976,5965.265,3,7,1976,1976_7,32.554,0.548720475
10/1/1976,6008.504,4,8,1976,1976_8,43.239,0.724846256
1/1/1977,6079.494,1,1,1977,1977_1,70.99,1.181492099
4/1/1977,6197.686,2,2,1977,1977_2,118.192,1.944109164
7/1/1977,6309.514,3,3,1977,1977_3,111.828,1.80435085
10/1/1977,6309.652,4,4,1977,1977_4,0.138,0.002187173
1/1/1978,6329.791,1,5,1978,1978_5,20.139,0.319177666
4/1/1978,6574.39,2,6,1978,1978_6,244.599,3.86425081
7/1/1978,6640.497,3,7,1978,1978_7,66.107,1.005522946
10/1/1978,6729.755,4,8,1978,1978_8,89.258,1.344146379
1/1/1979,6741.854,1,1,1979,1979_1,12.099,0.179783662
4/1/1979,6749.063,2,2,1979,1979_2,7.209,0.106929044
7/1/1979,6799.2,3,3,1979,1979_3,50.137,0.742873492
10/1/1979,6816.203,4,4,1979,1979_4,17.003,0.250073538
1/1/1980,6837.641,1,5,1980,1980_5,21.438,0.314515281
4/1/1980,6696.753,2,6,1980,1980_6,-140.888,-2.060476705
7/1/1980,6688.794,3,7,1980,1980_7,-7.959,-0.118848642
10/1/1980,6813.535,4,8,1980,1980_8,124.741,1.864925127
1/1/1981,6947.042,1,1,1981,1981_1,133.507,1.959438089
4/1/1981,6895.559,2,2,1981,1981_2,-51.483,-0.741078001
7/1/1981,6978.135,3,3,1981,1981_3,82.576,1.197524378
10/1/1981,6902.105,4,4,1981,1981_4,-76.03,-1.089546132
1/1/1982,6794.878,1,5,1982,1982_5,-107.227,-1.55354055
4/1/1982,6825.876,2,6,1982,1982_6,30.998,0.456196565
7/1/1982,6799.781,3,7,1982,1982_7,-26.095,-0.382295254
10/1/1982,6802.497,4,8,1982,1982_8,2.716,0.039942463
1/1/1983,6892.144,1,1,1983,1983_1,89.647,1.317854311
4/1/1983,7048.982,2,2,1983,1983_2,156.838,2.275605385
7/1/1983,7189.896,3,3,1983,1983_3,140.914,1.999068802
10/1/1983,7339.893,4,4,1983,1983_4,149.997,2.086219328
1/1/1984,7483.371,1,5,1984,1984_5,143.478,1.95476964
4/1/1984,7612.668,2,6,1984,1984_6,129.297,1.727790858
7/1/1984,7686.059,3,7,1984,1984_7,73.391,0.96406411
10/1/1984,7749.151,4,8,1984,1984_8,63.092,0.820862811
1/1/1985,7824.247,1,1,1985,1985_1,75.096,0.969086807
4/1/1985,7893.136,2,2,1985,1985_2,68.889,0.880455333
7/1/1985,8013.674,3,3,1985,1985_3,120.538,1.527124327
10/1/1985,8073.239,4,4,1985,1985_4,59.565,0.743292028
1/1/1986,8148.603,1,5,1986,1986_5,75.364,0.933503889
4/1/1986,8185.303,2,6,1986,1986_6,36.7,0.450383949
7/1/1986,8263.639,3,7,1986,1986_7,78.336,0.957032379
10/1/1986,8308.021,4,8,1986,1986_8,44.382,0.537075736
1/1/1987,8369.93,1,1,1987,1987_1,61.909,0.745171443
4/1/1987,8460.233,2,2,1987,1987_2,90.303,1.078897912
7/1/1987,8533.635,3,3,1987,1987_3,73.402,0.867612039
10/1/1987,8680.162,4,4,1987,1987_4,146.527,1.717052581
1/1/1988,8725.006,1,5,1988,1988_5,44.844,0.516626303
4/1/1988,8839.641,2,6,1988,1988_6,114.635,1.313867291
7/1/1988,8891.435,3,7,1988,1988_7,51.794,0.585928772
10/1/1988,9009.913,4,8,1988,1988_8,118.478,1.332495823
1/1/1989,9101.508,1,1,1989,1989_1,91.595,1.016602491
4/1/1989,9170.977,2,2,1989,1989_2,69.469,0.76326912
7/1/1989,9238.923,3,3,1989,1989_3,67.946,0.740880715
10/1/1989,9257.128,4,4,1989,1989_4,18.205,0.197046777
1/1/1990,9358.289,1,5,1990,1990_5,101.161,1.092790334
4/1/1990,9392.251,2,6,1990,1990_6,33.962,0.36290822
7/1/1990,9398.499,3,7,1990,1990_7,6.248,0.066522924
10/1/1990,9312.937,4,8,1990,1990_8,-85.562,-0.910379413
1/1/1991,9269.367,1,1,1991,1991_1,-43.57,-0.467843818
4/1/1991,9341.642,2,2,1991,1991_2,72.275,0.779718831
7/1/1991,9388.845,3,3,1991,1991_3,47.203,0.505296606
10/1/1991,9421.565,4,4,1991,1991_4,32.72,0.34849867
1/1/1992,9534.346,1,5,1992,1992_5,112.781,1.197051658
4/1/1992,9637.732,2,6,1992,1992_6,103.386,1.084353347
7/1/1992,9732.979,3,7,1992,1992_7,95.247,0.98827193
10/1/1992,9834.51,4,8,1992,1992_8,101.531,1.043164688
