date,DSPIC96,quarter_yr,quarter_cycle
1/1/1959,2187.2,1,1
2/1/1959,2193.8,1,1
3/1/1959,2206.4,1,1
4/1/1959,2220.7,2,2
5/1/1959,2232.8,2,2
6/1/1959,2240.2,2,2
7/1/1959,2236.7,3,3
8/1/1959,2223.5,3,3
9/1/1959,2224.4,3,3
10/1/1959,2226.1,4,4
11/1/1959,2242.1,4,4
12/1/1959,2263.9,4,4
1/1/1960,2268.8,1,5
2/1/1960,2269.2,1,5
3/1/1960,2271.9,1,5
4/1/1960,2280.6,2,6
5/1/1960,2285.6,2,6
6/1/1960,2287.7,2,6
7/1/1960,2291.4,3,7
8/1/1960,2286.2,3,7
9/1/1960,2289.4,3,7
10/1/1960,2297.8,4,8
11/1/1960,2288.3,4,8
12/1/1960,2278,4,8
1/1/1961,2300,1,1
2/1/1961,2309.6,1,1
3/1/1961,2319.3,1,1
4/1/1961,2324.1,2,2
5/1/1961,2343,2,2
6/1/1961,2367.1,2,2
7/1/1961,2375.2,3,3
8/1/1961,2375.3,3,3
9/1/1961,2377.4,3,3
10/1/1961,2402.5,4,4
11/1/1961,2424.7,4,4
12/1/1961,2439.5,4,4
1/1/1962,2433.4,1,5
2/1/1962,2444.4,1,5
3/1/1962,2460.6,1,5
4/1/1962,2471.5,2,6
5/1/1962,2472.9,2,6
6/1/1962,2473.3,2,6
7/1/1962,2484.1,3,7
8/1/1962,2486.4,3,7
9/1/1962,2487.1,3,7
10/1/1962,2499.4,4,8
11/1/1962,2506.3,4,8
12/1/1962,2518,4,8
1/1/1963,2536.1,1,1
2/1/1963,2521.2,1,1
3/1/1963,2531.8,1,1
4/1/1963,2542.2,2,2
5/1/1963,2551.9,2,2
6/1/1963,2564.8,2,2
7/1/1963,2567.6,3,3
8/1/1963,2577.9,3,3
9/1/1963,2597.2,3,3
10/1/1963,2612.2,4,4
11/1/1963,2617.8,4,4
12/1/1963,2638.9,4,4
1/1/1964,2647.7,1,5
2/1/1964,2656,1,5
3/1/1964,2719.1,1,5
4/1/1964,2733.8,2,6
5/1/1964,2748.2,2,6
6/1/1964,2757.2,2,6
7/1/1964,2770.3,3,7
8/1/1964,2782.6,3,7
9/1/1964,2793.6,3,7
10/1/1964,2792.8,4,8
11/1/1964,2810.9,4,8
12/1/1964,2837.9,4,8
1/1/1965,2843.4,1,1
2/1/1965,2844,1,1
3/1/1965,2853.5,1,1
4/1/1965,2856.6,2,2
5/1/1965,2888.2,2,2
6/1/1965,2892.4,2,2
7/1/1965,2922.6,3,3
8/1/1965,2937,3,3
9/1/1965,3013.8,3,3
10/1/1965,2999,4,4
11/1/1965,3020.3,4,4
12/1/1965,3032.7,4,4
1/1/1966,3034.8,1,5
2/1/1966,3047.5,1,5
3/1/1966,3059.4,1,5
4/1/1966,3047.8,2,6
5/1/1966,3052.6,2,6
6/1/1966,3065.4,2,6
7/1/1966,3075.9,3,7
8/1/1966,3091.8,3,7
9/1/1966,3110.1,3,7
10/1/1966,3120.2,4,8
11/1/1966,3134.5,4,8
12/1/1966,3131.8,4,8
1/1/1967,3164,1,1
2/1/1967,3170.2,1,1
3/1/1967,3194,1,1
4/1/1967,3193,2,2
5/1/1967,3199.5,2,2
6/1/1967,3211.3,2,2
7/1/1967,3224.1,3,3
8/1/1967,3235.7,3,3
9/1/1967,3235.3,3,3
10/1/1967,3240.3,4,4
11/1/1967,3259.9,4,4
12/1/1967,3265.8,4,4
1/1/1968,3283.3,1,5
2/1/1968,3307.1,1,5
3/1/1968,3338.2,1,5
4/1/1968,3349.9,2,6
5/1/1968,3363.5,2,6
6/1/1968,3378.7,2,6
7/1/1968,3371.8,3,7
8/1/1968,3376.1,3,7
9/1/1968,3376.5,3,7
10/1/1968,3388.5,4,8
11/1/1968,3401.2,4,8
12/1/1968,3412.9,4,8
1/1/1969,3406.8,1,1
2/1/1969,3407.5,1,1
3/1/1969,3413.6,1,1
4/1/1969,3408.6,2,2
5/1/1969,3447.4,2,2
6/1/1969,3471.8,2,2
7/1/1969,3496,3,3
8/1/1969,3517.4,3,3
9/1/1969,3525.2,3,3
10/1/1969,3533.5,4,4
11/1/1969,3539.6,4,4
12/1/1969,3546,4,4
1/1/1970,3564.8,1,5
2/1/1970,3576.1,1,5
3/1/1970,3589.8,1,5
4/1/1970,3628.4,2,6
5/1/1970,3613.7,2,6
6/1/1970,3621.1,2,6
7/1/1970,3672.4,3,7
8/1/1970,3684.2,3,7
9/1/1970,3680.2,3,7
10/1/1970,3668.2,4,8
11/1/1970,3662.7,4,8
12/1/1970,3679.4,4,8
1/1/1971,3735.8,1,1
2/1/1971,3740.9,1,1
3/1/1971,3753.2,1,1
4/1/1971,3761,2,2
5/1/1971,3776.2,2,2
6/1/1971,3856.1,2,2
7/1/1971,3801.2,3,3
8/1/1971,3814.6,3,3
9/1/1971,3837.2,3,3
10/1/1971,3849.6,4,4
11/1/1971,3858.7,4,4
12/1/1971,3878.3,4,4
1/1/1972,3858.7,1,5
2/1/1972,3882.4,1,5
3/1/1972,3898.6,1,5
